ThreatID,System,ThreatType,Severity,Date,Description,SourceFile,SourceThreatID,Threat Description,Control Design,Control Owner,Control Mitigation Effectiveness,Threat Mitigation,Action Ref.,Control Weakness,Threat,Recommendation,Step No.,Asset Ref.,Asset Title,Threat Title,Required Control,Control Effectiveness,Recommendations,Kill Chain Stage,Mitigation,Mitigated,Version No.,Date Of Issue,Authors,Status,Comments
THR-000001,ECommerce - PF,,,,"A malicious actor could attempt to exploit the API by obtaining unauthorized access to Salesforce through the Connected App. If the consumer key and secret for OAuth authentication were compromised, the attacker could potentially impersonate the e-commerce platform and manipulate Salesforce records or access sensitive data.",Threat Model- ECommerce - PF.pptx,T01,"A malicious actor could attempt to exploit the API by obtaining unauthorized access to Salesforce through the Connected App. If the consumer key and secret for OAuth authentication were compromised, the attacker could potentially impersonate the e-commerce platform and manipulate Salesforce records or access sensitive data.","The control in place to mitigate the risk involves using OAuth 2.0 authentication with a consumer key and secret, which are generated automatically when the Connected App is created. The API user-dedicated solely for API access and without login privileges is assigned only the necessary permissions for commerce-related tasks. Additionally, system administrators are the only individuals with access to the API credentials in Salesforce, ensuring that the risk of unauthorized access is minimized.",Salesforce Team,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000002,ECommerce - PF,,,,A malicious actor is able to capture a request from the e-commerce website and change the transaction to be able to obtain cheaper or free PF files and environments.,Threat Model- ECommerce - PF.pptx,T02,A malicious actor is able to capture a request from the e-commerce website and change the transaction to be able to obtain cheaper or free PF files and environments.,Security tested and fixed controls to ensure a malicious actor can't obtain the product at zero cost.,PF engineering,Ineffective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000003,ECommerce - PF,,,,A malicious actor is able to capture a request from the e-commerce website and change the transaction to be able to obtain cheaper or free PF files and environments.,Threat Model- ECommerce - PF.pptx,,,,,,,A02,,A malicious actor is able to capture a request from the e-commerce website and change the transaction to be able to obtain cheaper or free PF files and environments.,,,,,,,,,,,,,,,,
THR-000004,BACS DR,,,,"Overnight (03:00 am UK time), Automate collates BACs files from multiple iTrent application servers and adds them into the BACS repo server in Cloud Services.",Threat Model - BACS DR .pptx,,,,,,,,,,,S01,,,,,,,,,,,,,,
THR-000005,BACS DR,,,,"Automate retrieves the passphrase from Secret Server via native AD and applies symmetric encryption to each file, ensuring AES-256-level protection at rest .",Threat Model - BACS DR .pptx,,,,,,,,,,,S02,,,,,,,,,,,,,,
THR-000006,BACS DR,,,,Encrypted files are transferred via SFTP from sftp01.webitrent.com over an IPSec VPN from Cloud Services environment to the isolated DR network at RHDC.,Threat Model - BACS DR .pptx,,,,,,,,,,,S03,,,,,,,,,,,,,,
THR-000007,BACS DR,,,,The SFTP server writes incoming files to local disk and mirrors them every 10 minutes to an USB drive for portable backup.,Threat Model - BACS DR .pptx,,,,,,,,,,,S04,,,,,,,,,,,,,,
THR-000008,BACS DR,,,,"In the event of a DR scenario, designated workgroup PCs in the RHDC would be used to process the BACs files; passphrase is retrieved on-demand from Secret Server to decrypt files locally.",Threat Model - BACS DR .pptx,,,,,,,,,,,S05,,,,,,,,,,,,,,
THR-000009,BACS DR,,,,"In the event of network or power failure at RHDC, the USB drive can be connected to a laptop to continue processing.",Threat Model - BACS DR .pptx,,,,,,,,,,,S06,,,,,,,,,,,,,,
THR-000010,BACS DR,,,,A malicious actor that has gained access to the MSMAS network is able to find and exfiltrate large volumes of BACS files.,Threat Model - BACS DR .pptx,T01,A malicious actor that has gained access to the MSMAS network is able to find and exfiltrate large volumes of BACS files.,,,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000011,BACS DR,,,,A malicious actor that has gained access to the encrypted files is able to gain access to the encryption key to decrypt the files.,Threat Model - BACS DR .pptx,T02,A malicious actor that has gained access to the encrypted files is able to gain access to the encryption key to decrypt the files.,,,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000012,BACS DR,,,,A malicious actor that has gained access to the MSMAS network is able to encrypt the BACS files on the DR network with ransomware so that they aren’t usable.,Threat Model - BACS DR .pptx,T03,A malicious actor that has gained access to the MSMAS network is able to encrypt the BACS files on the DR network with ransomware so that they aren’t usable.,,,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000013,BACS DR,,,,A malicious actor is able to gain physical access to the DR network and steal the USB key with the BACS files on.,Threat Model - BACS DR .pptx,T04,A malicious actor is able to gain physical access to the DR network and steal the USB key with the BACS files on.,,,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000014,BACS DR,,,,A malicious insider steals the encrypted files and the encryption key and holds the company to ransom.,Threat Model - BACS DR .pptx,T05,A malicious insider steals the encrypted files and the encryption key and holds the company to ransom.,,,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000015,People First Pension Data Service,,,,A malicious actor that has gained access to the SAP DS server is able to find the password to the service account and move laterally to compromise the customer database.,Threat Model -People First Pension Data Service.pptx,T01,A malicious actor that has gained access to the SAP DS server is able to find the password to the service account and move laterally to compromise the customer database.,The Database Service account password is stored encrypted in SAP DS so that it cannot easily found and used.,Engineering,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000016,People First Pension Data Service,,,,A malicious actor that has gained access to the SAP DS server is able to find a PF PAT token and gain unauthorised access to PF.,Threat Model -People First Pension Data Service.pptx,T02,A malicious actor that has gained access to the SAP DS server is able to find a PF PAT token and gain unauthorised access to PF.,The PF PAT token is stored in the SAP DS the Data / Customer Staging database encrypted and is retrieved by SAP DS at runtime of the python script so that it cannot be easily found and used.,Engineering,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000017,People First Pension Data Service,,,,A malicious actor that has gained access to the SAP DS server modifies the Python script to undertaken malicious actions on PF (e.g. to change bank account details).,Threat Model -People First Pension Data Service.pptx,T03,A malicious actor that has gained access to the SAP DS server modifies the Python script to undertaken malicious actions on PF (e.g. to change bank account details).,Write access to the Python script is limited to local admin access only. SAP DS has read and execute access to the script so that this cannot be changed if the SAP DS account is compromised.,Engineering,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000018,People First Pension Data Service,,,,A malicious package is accidentally downloaded and deployed into the hosted network.,Threat Model -People First Pension Data Service.pptx,T04,A malicious package is accidentally downloaded and deployed into the hosted network.,The Engineering team have reviewed the Python script to confirm that the third-party packages in use are legitimate and are not known to contain vulnerabilities or malware.,Engineering,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000019,Secret Server Extended access,,,,A malicious actor with Secret Server access could retrieve and misuse the MHR_SVC_PS_Admin,Threat Model - Secret Server Extended access.pptx,T01,A malicious actor with Secret Server access could retrieve and misuse the MHR_SVC_PS_Admin,Enforce approval workflows and audit logs for credential access in Secret Server,Professional Services,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000020,Secret Server Extended access,,,,Credentials remain active post-engagement and could be reused later maliciously.,Threat Model - Secret Server Extended access.pptx,T02,Credentials remain active post-engagement and could be reused later maliciously.,Automatically expire or rotate credentials upon offboarding or engagement closure.,Cloud Services,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000021,Secret Server Extended access,,,,MHR_SVC_PS_Admin credentials get reused across multiple environments.,Threat Model - Secret Server Extended access.pptx,T03,MHR_SVC_PS_Admin credentials get reused across multiple environments.,The password for the MHR_SVC_PS_Admin account are randomly generated using Secret Server. It's not going to be the same password reused across multiple environments.,Cloud Services,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000022,External Connectivity Secret Server,,,,Malicious actor spoofs a Delinea IP address to bypass IP restrictions and gain access to the endpoint.,Threat Model - External Connectivity Secret Server.pptx,T01,Malicious actor spoofs a Delinea IP address to bypass IP restrictions and gain access to the endpoint.,IP restrictions are enforced at both Cloudflare and F5 to validate source authenticity.,CloudFlare / Cloud Services,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000023,External Connectivity Secret Server,,,,Malicious actor discovers and exploits a vulnerability in Secret Server or F5 to gain unauthorized access.,Threat Model - External Connectivity Secret Server.pptx,T02,Malicious actor discovers and exploits a vulnerability in Secret Server or F5 to gain unauthorized access.,The infrastructure team actively manages and patches the F5 load balancer on a scheduled basis.,Cloud Services / OCD,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000024,External Connectivity Secret Server,,,,Malicious actor performs man-in-the-middle interception of secrets in transit.,Threat Model - External Connectivity Secret Server.pptx,T03,Malicious actor performs man-in-the-middle interception of secrets in transit.,The communication between the cloud and replica is using HTTPS / TLS encryption for the transport. The secrets have all their sensitive fields encrypted within the database (e.g. password field),Cloud Services,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000025,Java Code - PF Checkins,,,,A malicious actor reads the plaintext transcripts from Blob due to the files not being encrypted at REST in BLOB Storage.,Java Code - PF Checkins.pptx,T01,A malicious actor reads the plaintext transcripts from Blob due to the files not being encrypted at REST in BLOB Storage.,"Azure does encrypt everything at rest, but it is completely transparent to the PF team as they use Azure-managed keys, all interactions with blob storage read and write the data in its raw format, when writing Azure will encrypt it, then when reading it will decrypt it. They can't see the encrypted value.",PF,Ineffective,Insufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000026,Java Code - PF Checkins,,,,"A malicious actor discovers the publicly-facing blob container and manages to exploit it and download each VTT file . Because blobs are unencrypted and all tenants share the same storage account, the attacker can harvest transcripts not only for one customer but for every account in the tenant.",Java Code - PF Checkins.pptx,T02,"A malicious actor discovers the publicly-facing blob container and manages to exploit it and download each VTT file . Because blobs are unencrypted and all tenants share the same storage account, the attacker can harvest transcripts not only for one customer but for every account in the tenant.",To prevent the Blob Storage from being publicly facing it will require a major Architectual re-write of People First.,PF / Cloud Fabric,Ineffective,Insufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000027,Java Code - PF Checkins,,,,A malicious actor manages to steal the VTT transcripts due to the files not being deleted after a period of time.,Java Code - PF Checkins.pptx,T03,A malicious actor manages to steal the VTT transcripts due to the files not being deleted after a period of time.,"Once the check-in is closed , the transcript from the Blob Storage, however people may forget to close it within a short period of time.",PF,Ineffective,Insufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000028,Data Explorer,,,,Compromised customer able to access other customer's data,Threat Model - Data Explorer.pptx,T01,,,,,,,,,,,,,Compromised customer able to access other customer's data,,,,,,,,,,,
THR-000029,Data Explorer,,,,Malicious actor attempts to manipulate authentication mechanism.,Threat Model - Data Explorer.pptx,T02,,,,,,,,,,,,,Malicious actor attempts to manipulate authentication mechanism.,,,,,,,,,,,
THR-000030,Data Explorer,,,,Malicious actor intercepts the token,Threat Model - Data Explorer.pptx,T03,,,,,,,,,,,,,Malicious actor intercepts the token,,,,,,,,,,,
THR-000031,Data Explorer,,,,Compromised customer able to access other customer's date,Threat Model - Data Explorer.pptx,T01,,,,,,,,,,,A01,,,"Implement access controls, establish strict data sharing policies, and enable audit logs for monitoring access.",,,,,,,,,,
